  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2024-11-30 16:18:59 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:18:59 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:18:59 /api/eventos/ ...................................................................... ~ 515.90ms
  2024-11-30 16:18:59 /api/eventos/ ........................................................................ ~ 0.04ms
  2024-11-30 16:19:11 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.07ms
  2024-11-30 16:19:11 /api/eventos/ ...................................................................... ~ 513.80ms
  2024-11-30 16:19:11 /api/eventos/ ........................................................................ ~ 0.04ms
  2024-11-30 16:19:11 /api/eventos/ ........................................................................ ~ 0.03ms
  2024-11-30 16:19:11 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:19:11 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:19:11 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:19:11 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:20:22 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.10ms
  2024-11-30 16:20:22 /api/eventos/1 ....................................................................... ~ 0.04ms
  2024-11-30 16:20:22 /api/eventos/1 ....................................................................... ~ 0.04ms
  2024-11-30 16:20:22 /api/eventos/1 ....................................................................... ~ 0.04ms
  2024-11-30 16:20:22 /api/eventos/1 ....................................................................... ~ 0.03ms
  2024-11-30 16:20:22 /api/eventos/1 ..................................................................... ~ 503.55ms
  2024-11-30 16:20:22 /api/eventos/1 ....................................................................... ~ 0.03ms
  2024-11-30 16:20:22 /api/eventos/1 ....................................................................... ~ 0.03ms
  2024-11-30 16:20:31 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.07ms
  2024-11-30 16:20:31 /api/eventos/1 ....................................................................... ~ 0.06ms
  2024-11-30 16:20:31 /api/eventos/1 ....................................................................... ~ 0.04ms
  2024-11-30 16:20:31 /api/eventos/1 ....................................................................... ~ 0.03ms
  2024-11-30 16:20:31 /api/eventos/1 ....................................................................... ~ 0.02ms
  2024-11-30 16:20:31 /api/eventos/1 ....................................................................... ~ 0.02ms
  2024-11-30 16:20:31 /api/eventos/1 ....................................................................... ~ 0.02ms
  2024-11-30 16:20:32 /api/eventos/1 ....................................................................... ~ 0.07ms
  2024-11-30 16:20:53 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.07ms
  2024-11-30 16:20:53 /api/eventos/1 ....................................................................... ~ 0.03ms
  2024-11-30 16:20:53 /api/eventos/1 ....................................................................... ~ 0.02ms
  2024-11-30 16:20:53 /api/eventos/1 ....................................................................... ~ 0.02ms
  2024-11-30 16:20:53 /api/eventos/1 ..................................................................... ~ 500.38ms
  2024-11-30 16:20:53 /api/eventos/1 ....................................................................... ~ 0.04ms
  2024-11-30 16:20:53 /api/eventos/1 ....................................................................... ~ 0.03ms
  2024-11-30 16:20:53 /api/eventos/1 ....................................................................... ~ 0.02ms
